Name,Type,Massage
minato,normal,なんなんだこの空間、そしてあいつは天使…なのか？
Angel,normal,演算ノ例外。不浄。ナゼ、死ヲ拒絶スル。管理ハ絶対ノ愛ナリ。
responda,normal,はじめましてポン！ おいらレスぽんただポン！
minato,normal,なんだこいつ！タヌキがしゃべった！
responda,normal,タヌキじゃないポン！ おいらはだぬぎのレスぽんただポン！
minato,normal,どっちも変わらんだろ。
minato,normal,というかなんなんだこの空間は。
minato,normal,それにこの頭に流れ込んでくる情報も。
minato,normal,お前、何か知ってないのか？
responda,normal,もー、時間がないからそれは後回しにして説明するポン。
responda,normal,ここは集合的無意識の空間。
responda,normal,そして君はどういうわけかこの空間にアクセスできる力に目覚めたポン。
minato,normal,つまり俺はみんなの思いの世界に干渉できてしまってるってことぽんか
responda,normal,口調が移ってるポン。
responda,normal,もう天使が動き出しそうだポン！
responda,normal,ここからは臨機応変に話すポン！
