Name,Type,Massage
minato,normal,はぁ、はぁ……。
minato,normal,生き延びた。
minato,normal,……でも、最後にアダムの言葉の裏から見えた、あの文字は何だったんだ……。
minato,normal,2人が、どうなるっていうんだよ……。
Naration,none,自室で寝ていた窪六郎の脳内に 突如破滅的なバグノイズが走る
rokuro,normal,……っ！？
rokuro,normal,なんだこれ……頭が割れる……。
rokuro,normal,未来の啓示か？
rokuro,normal,……『死』……？
rokuro,normal,どういうことだ？
Naration,none,空間が歪み アダムが六郎の背後に音もなく現れる
Naration,none,アダムは六郎の首を無慈悲に掴み上げた
adam,normal,因果の清算だ。
adam,normal,最高級の『恐怖』として、この世界の平和の礎になってもらう。
adam,normal,恨むなら自分の親友を恨むんだな。
adam,normal,フハハハハハハハハハハハハハハハハハハハハハハハハハハハハハハハハハハハハハハハ！！
Naration,none,六郎の絶望の悲鳴が響き渡る
Naration,none,六郎はアダムの手によって処刑され 粒子となって消滅する
Naration,none,首の痣を押さえる湊は まだ親友の死と自分の選択を結び付けられていない
Naration,none,画面がゆっくりと暗転する
Naration,none,次の日の教室 ガヤガヤとした賑やかな声が響く
minato,normal,おはよー、……って、なんだこれ……
Naration,none,六郎の机には白い花が飾られている
Naration,none,クラスメイト達は満面の笑みで拍手を続けている
Naration,none,栞も何も知らず 幸せそうに拍手している
everyone,normal,おめでとう！
everyone,normal,おめでとう！
everyone,normal,おめでとう！
everyone,normal,おめでとう！
Naration,none,ただ一人 世界の狂気と親友の消滅に気付いた湊は戦慄する
